uid,movid,sim_length,mov_length,sim_duration,mov_duration,start_ts,end_ts,consumption,legs_consumptions,emergency,scenario,recharges,start_osmid,end_osmid,start_charge,stay_charge,start_loc_type,station_recharge_amounts
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1210155136,1210159125,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1210201959,1210206953,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,6,0.0,35041.89214821102,6799.728837599998,3766.0,1210241569,1210245335,40480820,[40480820],0,3,0,1364164051,2207734243,96768353,40031647,H,[]
115,7,0.0,39080.91362823618,6928.286796000005,3249.0,1210288168,1210291417,39904308,[39904308],0,3,0,2207734243,1364164051,96319180,40480820,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1210673314,1210677522,40448069,[40448069],0,3,0,1364164051,2207734252,96895692,39904308,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1210720591,1210724767,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1210759597,1210765084,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1210805854,1210809048,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1210846668,1210850702,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1210894036,1210897863,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1211364880,1211368978,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1211411680,1211415030,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1211965833,1211969302,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212016087,1212019780,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212055923,1212059601,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212102616,1212106425,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
